V_region,TRBJ1-1,TRBJ1-5,TRBJ2-3,TRBJ2-5,TRBJ1-6,TRBJ1-2,TRBJ1-4,TRBJ2-7,TRBJ2-2,TRBJ2-1,TRBJ1-3,TRBJ2-4,TRBJ2-6
TRBV16,6.667833333333335e-05,0.00016490458333333338,6.469083333333335e-05,0.004147985833333331,4.776625e-05,3.0653750000000004e-05,1.97425e-05,0.00027993041666666673,0.00010275874999999999,0.00015624750000000002,3.1687499999999995e-06,1.7489583333333333e-05,1.5068333333333333e-05
TRBV5-8,0.0002539425,8.557791666666666e-05,0.00023595291666666672,8.555916666666669e-05,1.6715000000000002e-05,5.681625e-05,1.1740416666666667e-05,0.0001907529166666667,9.232500000000002e-05,0.0001922720833333333,7.939583333333333e-06,1.5402916666666668e-05,2.3308333333333332e-05
TRBV7-4,4.457916666666667e-06,1.8666666666666665e-05,9.525666666666667e-05,1.1509583333333334e-05,7.227083333333334e-06,1.0325833333333332e-05,0.0,6.946166666666667e-05,0.0,2.90725e-05,5.58925e-05,3.8475e-06,1.2764583333333333e-05
TRBV21-1,1.1848333333333333e-05,2.1124583333333334e-05,1.661e-05,1.2241666666666668e-05,1.8733333333333335e-06,2.6767499999999997e-05,3.037916666666667e-06,4.359708333333333e-05,1.6627916666666667e-05,7.546500000000001e-05,5.144583333333333e-06,3.5179166666666665e-06,3.5475e-06
TRBV3-2,8.566666666666667e-06,1.0814583333333333e-05,6.032916666666666e-06,0.0,0.0,2.0254166666666664e-06,0.0,3.2595833333333334e-06,3.342083333333333e-06,4e-06,0.0,0.0,0.0
TRBV23-1,2.3890416666666668e-05,4.714583333333334e-06,4.91125e-06,2.2725833333333332e-05,0.0,9.7725e-06,4.984583333333334e-06,1.1317916666666667e-05,2.0120833333333335e-06,0.00020849583333333336,0.0,0.0,7.7875e-07
TRBV1,4.5916666666666663e-07,2.531666666666667e-06,0.0,0.0,0.0,0.0,0.0,1.6229166666666667e-06,1.5583333333333334e-06,1.8229166666666666e-06,0.0,0.0,0.0
TRBV5-3,0.0,3.18125e-06,3.2745833333333333e-06,0.0,4.253333333333333e-06,1.9241666666666667e-06,0.0,1.44e-06,0.0,0.0,5.670833333333333e-06,0.0,0.0
TRBV24,7.7875e-07,1.0095833333333333e-06,4.0904166666666665e-06,2.2066666666666666e-06,0.0,0.0,0.0,3.44125e-06,3.1249999999999997e-06,1.6970833333333331e-06,0.0,0.0,0.0
TRBV12-2,0.0,0.0,0.0,0.0,1.9479166666666667e-06,0.0,3.08875e-06,0.0,0.0,3.310833333333333e-06,1.2405416666666667e-05,0.0,0.0
TRBV23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1683333333333333e-06,1.4833333333333332e-06,3.635e-06,0.0,0.0,0.0
TRBV5-7,0.0,0.0,6.683749999999999e-06,0.0,0.0,0.0,0.0,1.8825e-06,0.0,0.0,0.0,0.0,0.0
TRBV6-8,2.928333333333333e-06,0.0,0.0,2.5475833333333334e-05,0.0,0.0,8.306666666666666e-06,2.801666666666667e-06,3.818333333333333e-06,9.2325e-06,0.0,0.0,0.0
TRBV6-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.615416666666667e-06,0.0,4.910833333333333e-06,0.0,9.091666666666667e-07,0.0
TRBV7-1,0.0,0.0,0.0,1.92e-06,0.0,0.0,0.0,5.841666666666666e-07,0.0,1.8733333333333335e-06,0.0,0.0,0.0
